1.614378e-10,-1.614378e-10,-1.614378e-10,1.614378e-10
1.694168e-10,-1.694168e-10,-1.694168e-10,1.694168e-10
1.776845e-10,-1.776845e-10,-1.776845e-10,1.776845e-10
1.862476e-10,-1.862476e-10,-1.862476e-10,1.862476e-10
1.951128e-10,-1.951128e-10,-1.951128e-10,1.951128e-10
2.042867e-10,-2.042867e-10,-2.042867e-10,2.042867e-10
2.137762e-10,-2.137762e-10,-2.137762e-10,2.137762e-10
2.235882e-10,-2.235882e-10,-2.235882e-10,2.235882e-10
2.337296e-10,-2.337296e-10,-2.337296e-10,2.337296e-10
2.442073e-10,-2.442073e-10,-2.442073e-10,2.442073e-10
2.550285e-10,-2.550285e-10,-2.550285e-10,2.550285e-10
2.662002e-10,-2.662002e-10,-2.662002e-10,2.662002e-10
2.777296e-10,-2.777296e-10,-2.777296e-10,2.777296e-10
2.896239e-10,-2.896239e-10,-2.896239e-10,2.896239e-10
3.018903e-10,-3.018903e-10,-3.018903e-10,3.018903e-10
3.145361e-10,-3.145361e-10,-3.145361e-10,3.145361e-10
3.275688e-10,-3.275688e-10,-3.275688e-10,3.275688e-10
3.409957e-10,-3.409957e-10,-3.409957e-10,3.409957e-10
3.548243e-10,-3.548243e-10,-3.548243e-10,3.548243e-10
3.690621e-10,-3.690621e-10,-3.690621e-10,3.690621e-10
3.837167e-10,-3.837167e-10,-3.837167e-10,3.837167e-10
3.987957e-10,-3.987957e-10,-3.987957e-10,3.987957e-10
4.143067e-10,-4.143067e-10,-4.143067e-10,4.143067e-10
4.302575e-10,-4.302575e-10,-4.302575e-10,4.302575e-10
4.466559e-10,-4.466559e-10,-4.466559e-10,4.466559e-10
4.635095e-10,-4.635095e-10,-4.635095e-10,4.635095e-10
4.808263e-10,-4.808263e-10,-4.808263e-10,4.808263e-10
4.986142e-10,-4.986142e-10,-4.986142e-10,4.986142e-10
5.168810e-10,-5.168810e-10,-5.168810e-10,5.168810e-10
5.356348e-10,-5.356348e-10,-5.356348e-10,5.356348e-10
5.548836e-10,-5.548836e-10,-5.548836e-10,5.548836e-10
5.746353e-10,-5.746353e-10,-5.746353e-10,5.746353e-10
5.948983e-10,-5.948983e-10,-5.948983e-10,5.948983e-10
6.156804e-10,-6.156804e-10,-6.156804e-10,6.156804e-10
6.369900e-10,-6.369900e-10,-6.369900e-10,6.369900e-10
6.588352e-10,-6.588352e-10,-6.588352e-10,6.588352e-10
6.812243e-10,-6.812243e-10,-6.812243e-10,6.812243e-10
7.041656e-10,-7.041656e-10,-7.041656e-10,7.041656e-10
7.276674e-10,-7.276674e-10,-7.276674e-10,7.276674e-10
